Abbreviation,Description,Reaction,GPR,Lower bound,Upper bound,Objective,Subsystem
PIN3K_SC,1 phosphatidylinositol 3 kinase  yeast specific,atp_c + 0.01 ptd1ino_SC_c  -> adp_c + h_c + 0.01 ptd3ino_SC_c ,YKL203C or YLR240W or YJR066W,0,999999,0,S_Phospholipid_Biosynthesis
PIN4K_SC,Phosphatidylinositol 4 kinase  yeast specific,atp_c + 0.01 ptd1ino_SC_c  -> adp_c + h_c + 0.01 ptd4ino_SC_c ,YNL267W or YLR305C,0,999999,0,S_Phospholipid_Biosynthesis
PIN4Kn_SC,Phosphatidylinositol 4 kinase  nuclear  yeast specifc,atp_n + 0.01 ptd1ino_SC_n  -> adp_n + h_n + 0.01 ptd4ino_SC_n ,YNL267W,0,999999,0,S_Phospholipid_Biosynthesis
PINOS_SC,Phosphatidylinositol synthase  yeast specific,0.01 cdpdag_SC_c + inost_c  -> cmp_c + h_c + 0.01 ptd1ino_SC_c ,YPR113W,0,999999,0,S_Phospholipid_Biosynthesis
PIt2m,Phosphate transporter  mitochondrial,h_c + pi_c  <=> h_m + pi_m ,YJR077C,-999999,999999,0,S_Transport__Mitochondrial
PANTS,Pantothenate synthase,ala_B_c + atp_c + pant__R_c  -> amp_c + h_c + pnto__R_c + ppi_c ,YIL145C,0,999999,0,S_Pantothenate_and_CoA_Biosynthesis
PANTtm,Pantothenate mitochondrial transport,pant__R_c  <=> pant__R_m ,,-999999,999999,0,S_Transport__Mitochondrial
PAPSR,Phosphoadenylyl-sulfate reductase (thioredoxin),paps_c + trdrd_c  -> 2 h_c + so3_c + pap_c + trdox_c ,( YPR167C and YLR043C ) or ( YPR167C and YGR209C ),0,999999,0,S_Cysteine_Metabolism
PAPt,PAP reversible uniport,pap_e  <=> pap_c ,,-999999,999999,0,S_Transport__Extracellular
PIt2n,Phosphate nuclear transport via proton symport,h_c + pi_c  <=> h_n + pi_n ,,-999999,999999,0,S_Transport__Nuclear
PIt2p,Phosphate peroxisomal transport via proton symport,h_c + pi_c  <=> h_x + pi_x ,,-999999,999999,0,S_Transport__Peroxisomal
PIt2r,Phosphate reversible transport via symport,h_e + pi_e  <=> h_c + pi_c ,YML123C or YCR037C or YBR296C or YJL198W or YNR013C,-999999,999999,0,S_Transport__Extracellular
PAPtm,Adenosine 3  5  bisphosphate mitochondrial transport,pap_c  <=> pap_m ,,-999999,999999,0,S_Transport__Mitochondrial
PIt2v,Phosphate vacuolar transport via proton symport,h_c + pi_c  <=> h_v + pi_v ,,-999999,999999,0,S_Transport__Vacuolar
PAtm_SC,Phosphatidate reversible transport  mitochondrial  yeast specific,pa_SC_c  <=> pa_SC_m ,,-999999,999999,0,S_Transport__Mitochondrial
PPPG9tm,Protoporphyrinogen IX mitochondrial transport,pppg9_c  <=> pppg9_m ,,-999999,999999,0,S_Transport__Mitochondrial
PC,Pyruvate carboxylase,atp_c + hco3_c + pyr_c  -> adp_c + h_c + oaa_c + pi_c ,YGL062W or YBR218C,0,999999,0,S_Anaplerotic_reactions
PCDAGAT,Phosphatidylcholine diacylglycerol acyltransferase,12dgr_SC_c + pc_SC_c  -> 1agpc_SC_c + triglyc_SC_c ,YNR008W,0,999999,0,S_Glycerolipid_Metabolism
PIt5m,Phosphate transport via hydroxide ion symport  mitochondrial,oh1_m + pi_c  <=> oh1_c + pi_m ,YER053C,-999999,999999,0,S_Transport__Mitochondrial
PLBP1I_SCe,Phospholipase B  phosphatidylinositol   yeast specific  extracellular ,h2o_e + 0.005 ptd1ino_SC_e  -> 0.02 dca_e + 0.06 ddca_e + 0.5 g3pi_e + h_e + 0.27 hdca_e + 0.17 hdcea_e + 0.05 ocdca_e + 0.24 ocdcea_e + 0.09 ocdcya_e + 0.1 ttdca_e ,YMR008C or YMR006C or YOL011W,0,999999,0,S_Phospholipid_Metabolism
PLBPC_SC,Phospholipase B  phosphatidylcholine   yeast specific,h2o_c + 0.005 pc_SC_c  -> 0.06 ddca_c + 0.02 dca_c + 0.5 g3pc_c + h_c + 0.27 hdca_c + 0.17 hdcea_c + 0.05 ocdca_c + 0.24 ocdcea_c + 0.09 ocdcya_c + 0.1 ttdca_c ,YML059C,0,999999,0,S_Phospholipid_Metabolism
PDE1,"3',5'-cyclic-nucleotide phosphodiesterase",camp_c + h2o_c  -> amp_c + h_c ,YOR360C or YGL248W,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
PLBPC_SCe,Phospholipase B  phosphatidylcholine   yeast specific  extracellular ,h2o_e + 0.005 pc_SC_e  -> 0.02 dca_e + 0.06 ddca_e + 0.5 g3pc_e + h_e + 0.27 hdca_e + 0.17 hdcea_e + 0.05 ocdca_e + 0.24 ocdcea_e + 0.09 ocdcya_e + 0.1 ttdca_e ,YMR006C or YMR008C,0,999999,0,S_Phospholipid_Metabolism
PPPGOm,Protoporphyrinogen oxidase  mitochondrial,3 o2_m + 2 pppg9_m  -> 6 h2o_m + 2 ppp9_m ,YER014W,0,999999,0,S_Porphyrin_and_Chlorophyll_Metabolism
PLD_SC,Phospholipase D  yeast specific,h2o_c + 0.01 pc_SC_c  -> chol_c + h_c + 0.01 pa_SC_c ,YKR031C,0,999999,0,S_Phospholipid_Metabolism
PMANM,Phosphomannomutase,man1p_c  <=> man6p_c ,YFL045C,-999999,999999,0,S_Fructose_and_Mannose_Metabolism
PMDPHT,Pyrimidine phosphatase,5aprbu_c + h2o_c  -> 4r5au_c + pi_c ,,0,999999,0,S_Riboflavin_Metabolism
PMETM_SC,Phosphatidyl N methylethanolamine N methyltransferase  yeast specific,amet_c + 0.01 ptd2meeta_SC_c  -> ahcys_c + h_c + 0.01 pc_SC_c ,YJR073C,0,999999,0,S_Phospholipid_Biosynthesis
PDE2,3  5  cyclic nucleotide phosphodiesterase,35cdamp_c + h2o_c  -> damp_c + h_c ,YOR360C,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
PDE3,3  5  cyclic nucleotide phosphodiesterase,35cimp_c + h2o_c  -> h_c + imp_c ,YOR360C,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
PDE4,"3',5'-cyclic-nucleotide phosphodiesterase",35cgmp_c + h2o_c  -> gmp_c + h_c ,YOR360C,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
PDE5,3  5  cyclic nucleotide phosphodiesterase,35ccmp_c + h2o_c  -> cmp_c + h_c ,YOR360C,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
GCC2cm_copy2,Glycine cleavage complex  lipoamide   mitochondrial,dhlam_m + nad_m  -> h_m + lpam_m + nadh_m ,YIL125W and YDR148C and YFL018C,0,999999,0,S_GlycolysisGluconeogenesis
PDHm,Pyruvate dehydrogenase,coa_m + nad_m + pyr_m  -> accoa_m + co2_m + nadh_m ,( YBR221C and YER178W ) and YNL071W and YFL018C and YGR193C,0,999999,0,S_GlycolysisGluconeogenesis
PDX5POi,Pyridoxine 5'-phosphate oxidase,o2_c + pdx5p_c  <=> h2o2_c + pydx5p_c ,YBR035C,-999999,999999,0,S_Pyridoxine_Metabolism
PENDPtm,All trans Pentaprenyl diphosphate transport  mitochondrial,pendp_c  <=> pendp_m ,,-999999,999999,0,S_Transport__Mitochondrial
PMEVK,Phosphomevalonate kinase,5pmev_c + atp_c  -> 5dpmev_c + adp_c ,YMR220W,0,999999,0,S_Sterol_Metabolism
PMI12346PH,5 diphosphoinositol 1 2 3 4 6 pentakisphosphate diphosphohydrolase,h2o_c + ppmi12346p_c  -> h_c + minohp_c + pi_c ,YOR163W,0,999999,0,S_Phospholipid_Metabolism
PMI12346PS,5 diphosphoinositol 1 2 3 4 6 pentakisphosphate synthase,atp_c + minohp_c  -> adp_c + ppmi12346p_c ,YDR017C,0,999999,0,S_Phospholipid_Metabolism
PEPAT,Peptide alpha N acetyltransferase,accoa_c + pepd_c  -> apep_c + coa_c + h_c ,YDL040C or YGR147C,0,999999,0,S_Other_Amino_Acid_Metabolism
PPTTm,Trans pentaprenyltranstransferase  mitochondrial,ipdp_m + pendp_m  -> hexdp_m + ppi_m ,YBR003W,0,999999,0,S_Quinone_Biosynthesis
PMI1346PH,Diphosphoinositol 1 3 4 6 tetrakisphosphate diphosphohydrolase,h2o_c + ppmi1346p_c  -> h_c + mi13456p_c + pi_c ,YOR163W,0,999999,0,S_Phospholipid_Metabolism
PMI1346PS,Diphosphoinositol 1 3 4 6 tetrakisphosphate synthase,atp_c + mi13456p_c  -> adp_c + ppmi1346p_c ,YDR017C,0,999999,0,S_Phospholipid_Metabolism
PMPK,Phosphomethylpyrimidine kinase,4ampm_c + atp_c  -> 2mahmp_c + adp_c ,YOL055C or YPL258C,0,999999,0,S_Thiamine_Metabolism
PPYRDC,Phenylpyruvate decarboxylase,h_c + phpyr_c  -> co2_c + pacald_c ,YLR044C or YLR134W or YGR087C or YDR380W,0,999999,0,S_Complex_Alcohol_Metabolism
PNP,Purine nucleoside phosphorylase,pi_c + rnam_c  <=> h_c + ncam_c + r1p_c ,,-999999,999999,0,S_NAD_Biosynthesis
PNTK,Pantothenate kinase,atp_c + pnto__R_c  -> 4ppan_c + adp_c + h_c ,YDR531W,0,999999,0,S_Pantothenate_and_CoA_Biosynthesis
PNTOt2,Pantothenate reversible transport via proton symport,h_e + pnto__R_e  <=> h_c + pnto__R_c ,YCR028C,-999999,999999,0,S_Transport__Extracellular
PYRDC2,Pyruvate decarboxylase  acetoin forming ,acald_c + h_c + pyr_c  -> actn__R_c + co2_c ,YLR044C or YGR087C or YLR134W,0,999999,0,S_Pyruvate_Metabolism
PYRt,Pyruvate exchange  diffusion,pyr_c  -> pyr_e ,,0,999999,0,S_Transport__Extracellular
POLYAO,Polyamine oxidase,N1aspmd_c + h2o_c + o2_c  -> aproa_c + aprut_c + h2o2_c ,YMR020W,0,999999,0,S_Pantothenate_and_CoA_Biosynthesis
PRAGSr,Phosphoribosylglycinamide synthase,atp_c + gly_c + pram_c  <=> adp_c + gar_c + h_c + pi_c ,YGL234W,-999999,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
POLYAO2,Poylamine oxidase,N1sprm_c + h2o_c + o2_c  -> N1aspmd_c + aproa_c + h2o2_c ,YMR020W,0,999999,0,S_Pantothenate_and_CoA_Biosynthesis
POLYAO3,Poylamine oxidase,h2o_c + o2_c + sprm_c  -> aproa_c + h2o2_c + spmd_c ,YMR020W,0,999999,0,S_Pantothenate_and_CoA_Biosynthesis
PYRt2,Pyruvate transport in via proton symport,h_e + pyr_e  -> h_c + pyr_c ,YKL217W,0,999999,0,S_Transport__Extracellular
PYRt2m,Pyruvate mitochondrial transport via proton symport,h_c + pyr_c  <=> h_m + pyr_m ,,-999999,999999,0,S_Transport__Mitochondrial
PRAIS,Phosphoribosylaminoimidazole synthase,atp_c + fpram_c  -> adp_c + air_c + 2 h_c + pi_c ,YGL234W,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
PYRt2p,Pyruvate peroxisomal transport via proton symport,h_c + pyr_c  <=> h_x + pyr_x ,,-999999,999999,0,S_Transport__Peroxisomal
QUILSYN,Quinolinate Synthase  Eukaryotic ,cmusa_c  -> h2o_c + h_c + quln_c ,,0,999999,0,S_Quinone_Biosynthesis
PPA,Inorganic diphosphatase,h2o_c + ppi_c  -> h_c + 2 pi_c ,YBR011C,0,999999,0,S_Oxidative_Phosphorylation
PPAm,Inorganic diphosphatase,h2o_m + ppi_m  -> h_m + 2 pi_m ,YMR267W,0,999999,0,S_Oxidative_Phosphorylation
PPBNGS,Porphobilinogen synthase,2 5aop_c  -> 2 h2o_c + h_c + ppbng_c ,YGL040C,0,999999,0,S_Porphyrin_and_Chlorophyll_Metabolism
PPCDC,Phosphopantothenoylcysteine decarboxylase,4ppcys_c + h_c  -> co2_c + pan4p_c ,,0,999999,0,S_Pantothenate_and_CoA_Biosynthesis
PPCK,Phosphoenolpyruvate carboxykinase,atp_c + oaa_c  -> adp_c + co2_c + pep_c ,YKR097W,0,999999,0,S_Anaplerotic_reactions
PRAIi,Phosphoribosylanthranilate isomerase (irreversible),pran_c  -> 2cpr5p_c ,YDR007W,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
QULNS,Quinolinate synthase,dhap_c + iasp_c  -> 2 h2o_c + quln_c + pi_c ,,0,999999,0,S_Folate_Metabolism
PRAMPC,Phosphoribosyl-AMP cyclohydrolase,h2o_c + prbamp_c  -> prfp_c ,YCL030C,0,999999,0,S_Histidine_Metabolism
QULNtm,Quinolinate reversible mitochondrial transport,quln_c  <=> quln_m ,,-999999,999999,0,S_Transport__Mitochondrial
RAFGH,Raffinose galactohydrolase,h2o_c + raffin_c  -> gal_c + sucr_c ,YBR184W,0,999999,0,S_Galactose_metabolism
RBFK,Riboflavin kinase,atp_c + ribflv_c  -> adp_c + fmn_c + h_c ,YDR236C,0,999999,0,S_Riboflavin_Metabolism
SLCBK2,Sphingolipid long chain base kinase  phytosphingosine ,atp_c + psphings_c  -> adp_c + h_c + psph1p_c ,YOR171C or YLR260W,0,999999,0,S_Sphingolipid_Metabolism
SLFAT,Sulfate adenylyltransferase  ADP ,adp_c + h_c + so4_c  <=> aps_c + pi_c ,YCL050C,-999999,999999,0,S_Cysteine_Metabolism
RBFKm,Riboflavin kinase  mitochondrial,atp_m + ribflv_m  -> adp_m + fmn_m + h_m ,YDR236C,0,999999,0,S_Riboflavin_Metabolism
PRASCSi,Phosphoribosylaminoimidazolesuccinocarboxamide synthase,5aizc_c + asp__L_c + atp_c  <=> 25aics_c + adp_c + h_c + pi_c ,YAR015W,-999999,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
RBFSa,Riboflavin synthase,4r5au_c + db4p_c  -> dmlz_c + 2 h2o_c + pi_c ,YOL143C,0,999999,0,S_Riboflavin_Metabolism
RBFSb,Riboflavin synthase,2 dmlz_c  -> 4r5au_c + ribflv_c ,YBR256C,0,999999,0,S_Riboflavin_Metabolism
SO3ti,Sulfite transport  efflux  cytosol to extracellular ,so3_c  -> so3_e ,YPL092W,0,999999,0,S_Transport__Extracellular
SO4ti,Sulfate irreversible uniport,so4_e  -> so4_c ,YBR294W or YLR092W or YGR125W,0,999999,0,S_Transport__Extracellular
RBK,Ribokinase,atp_c + rib__D_c  -> adp_c + h_c + r5p_c ,YCR036W,0,999999,0,S_Pentose_Phosphate_Pathway
SPH1Pter,Sphinganine 1 phosphate endoplasmic reticular transport,sph1p_c  -> sph1p_r ,,0,999999,0,S_Transport__Endoplasmic_Reticular
RIBFLVt2,Riboflavin transport in via proton symport,h_e + ribflv_e  -> h_c + ribflv_c ,,0,999999,0,S_Transport__Extracellular
PRATPP,Phosphoribosyl-ATP pyrophosphatase,h2o_c + prbatp_c  -> h_c + ppi_c + prbamp_c ,YCL030C,0,999999,0,S_Histidine_Metabolism
RIBFLVtm,Riboflavin reversible mitochondrial transport,ribflv_c  <=> ribflv_m ,,-999999,999999,0,S_Transport__Mitochondrial
SPHPL,Sphinganine phosphate lyase,sph1p_c  -> ethamp_c + hxdcal_c ,YDR294C,0,999999,0,S_Sphingolipid_Metabolism
RIBt2,Ribose transport in via proton symporter,h_e + rib__D_e  -> h_c + rib__D_c ,,0,999999,0,S_Transport__Extracellular
PRFGS,Phosphoribosylformylglycinamidine synthase,atp_c + fgam_c + gln__L_c + h2o_c  -> adp_c + fpram_c + glu__L_c + h_c + pi_c ,YGR061C,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
SPMDAT1,Spermidine acetyltransferase,accoa_c + spmd_c  -> N1aspmd_c + coa_c + h_c ,,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
RNDR1,Ribonucleoside-diphosphate reductase (ADP),adp_c + trdrd_c  -> dadp_c + h2o_c + trdox_c ,(( YIL066C and YJL026W ) and YLR043C ) or (( YIL066C and YJL026W ) and YGR209C ) or (( YER070W and YJL026W ) and YLR043C ) or (( YER070W and YJL026W ) and YGR209C ),0,999999,0,S_Nucleotide_Salvage_Pathway
PRMICI,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,prfp_c  -> prlp_c ,YIL020C,0,999999,0,S_Histidine_Metabolism
RNDR1n,Ribonucleoside diphosphate reductase  nuclear,adp_n + trdrd_n  -> dadp_n + h2o_n + trdox_n ,(( YGR180C and YIL066C ) and YLR043C ) or (( YGR180C and YIL066C ) and YGR209C ) or (( YER070W and YGR180C ) and YLR043C ) or (( YER070W and YGR180C ) and YGR209C ),0,999999,0,S_Nucleotide_Salvage_Pathway
SPMDt3i,Spermidine transport in via proton antiport,h_c + spmd_e  -> h_e + spmd_c ,YOR273C or YLL028W,0,999999,0,S_Transport__Extracellular
SPMDtex2,Spermidine excretion  cytosol to extracellular ,spmd_c  -> spmd_e ,YKL174C,0,999999,0,S_Transport__Extracellular
RNDR2,Ribonucleoside-diphosphate reductase (GDP),gdp_c + trdrd_c  -> dgdp_c + h2o_c + trdox_c ,(( YER070W and YJL026W ) and YLR043C ) or (( YER070W and YJL026W ) and YGR209C ),0,999999,0,S_Nucleotide_Salvage_Pathway
RNDR2n,Ribonucleoside diphosphate reductase  GDP   nuclear,gdp_n + trdrd_n  -> dgdp_n + h2o_n + trdox_n ,(( YER070W and YGR180C ) and YLR043C ) or (( YER070W and YGR180C ) and YGR209C ),0,999999,0,S_Nucleotide_Salvage_Pathway
RNDR3,Ribonucleoside-diphosphate reductase (CDP),cdp_c + trdrd_c  -> dcdp_c + h2o_c + trdox_c ,(( YER070W and YJL026W ) and YLR043C ) or (( YER070W and YJL026W ) and YGR209C ),0,999999,0,S_Nucleotide_Salvage_Pathway
RNDR3n,Ribonucleoside diphosphate reductase  CDP   nuclear,cdp_n + trdrd_n  -> dcdp_n + h2o_n + trdox_n ,(( YER070W and YGR180C ) and YLR043C ) or (( YER070W and YGR180C ) and YGR209C ),0,999999,0,S_Nucleotide_Salvage_Pathway
SPMS,Spermidine synthase,ametam_c + ptrc_c  -> 5mta_c + h_c + spmd_c ,YPR069C,0,999999,0,S_Arginine_and_Proline_Metabolism
SPRMS,Spermine synthase,ametam_c + spmd_c  -> 5mta_c + h_c + sprm_c ,YLR146C,0,999999,0,S_Arginine_and_Proline_Metabolism
SPRMt2i,Spermine transport via proton antiport irreversible,h_c + sprm_e  -> h_e + sprm_c ,YLL028W or YPR156C or YOR273C or YGR138C,0,999999,0,S_Transport__Extracellular
SQ23EPXter,Squalene 2 3 epoxide endoplamic reticular transport,Ssq23epx_r  <=> Ssq23epx_c ,,-999999,999999,0,S_Transport__Endoplasmic_Reticular
SQLEr,Squalene epoxidase  endoplasmic reticular  NADP ,h_r + o2_r + nadph_r + sql_r  -> Ssq23epx_r + h2o_r + nadp_r ,YGR175C and YHR042W,0,999999,0,S_Sterol_Metabolism
SQLErx,Squalene epoxidase  endoplasmic reticular  NAD ,h_r + o2_r + nadh_r + sql_r  -> Ssq23epx_r + h2o_r + nad_r ,( YIL043C and YNL111C and YGR175C ) or ( YNL111C and YGR175C and YKL150W ),0,999999,0,S_Sterol_Metabolism
RNDR4,Ribonucleoside-diphosphate reductase (UDP),trdrd_c + udp_c  -> dudp_c + h2o_c + trdox_c ,(( YER070W and YJL026W ) and YLR043C ) or (( YER070W and YJL026W ) and YGR209C ),0,999999,0,S_Nucleotide_Salvage_Pathway
RNDR4n,Ribonucleoside diphosphate reductase  UDP   nuclear,trdrd_n + udp_n  -> dudp_n + h2o_n + trdox_n ,(( YER070W and YGR180C ) and YLR043C ) or (( YER070W and YGR180C ) and YGR209C ),0,999999,0,S_Nucleotide_Salvage_Pathway
SQLS,Squalene synthase,2 frdp_c + h_c + nadph_c  -> 2 ppi_c + nadp_c + sql_c ,YHR190W,0,999999,0,S_Sterol_Metabolism
RNMK,Ribosylnicotinamide kinase,atp_c + rnam_c  -> adp_c + h_c + nmn_c ,YNL129W,0,999999,0,S_NAD_Biosynthesis
PRO1xm,Proline oxidase  NAD   mitochondrial,nad_m + pro__L_m  -> 1pyr5c_m + 2 h_m + nadh_m ,YLR142W,0,999999,0,S_Arginine_and_Proline_Metabolism
RNTR1,Ribonucleoside triphosphate reductase  ATP ,atp_c + trdrd_c  -> datp_c + h2o_c + trdox_c ,YLR043C or YGR209C,0,999999,0,S_Nucleotide_Salvage_Pathway
RNTR2,Ribonucleoside triphosphate reductase  GTP ,gtp_c + trdrd_c  -> dgtp_c + h2o_c + trdox_c ,YLR043C or YGR209C,0,999999,0,S_Nucleotide_Salvage_Pathway
SQLter,Squalene endoplamic reticular transport,sql_c  <=> sql_r ,,-999999,999999,0,S_Transport__Endoplasmic_Reticular
SRB_Lt,L sorbose reversible transport,srb__L_e  <=> srb__L_c ,,-999999,999999,0,S_Transport__Extracellular
RNTR3,Ribonucleoside triphosphate reductase  CTP ,ctp_c + trdrd_c  -> dctp_c + h2o_c + trdox_c ,YGR209C or YLR043C,0,999999,0,S_Nucleotide_Salvage_Pathway
PROTRS,Prolyl-tRNA synthetase,atp_c + pro__L_c + trnapro_c  -> amp_c + ppi_c + protrna_c ,YER087W or YHR020W,0,999999,0,S_tRNA_charging
RNTR4,Ribonucleoside triphosphate reductase  UTP ,trdrd_c + utp_c  -> dutp_c + h2o_c + trdox_c ,YLR043C or YGR209C,0,999999,0,S_Nucleotide_Salvage_Pathway
RPE,Ribulose 5-phosphate 3-epimerase,ru5p__D_c  <=> xu5p__D_c ,YJL121C,-999999,999999,0,S_Pentose_Phosphate_Pathway
SSALy,Succinate-semialdehyde dehydrogenase (NADP),h2o_c + nadp_c + sucsal_c  -> 2 h_c + nadph_c + succ_c ,YBR006W,0,999999,0,S_Glutamate_metabolism
PROt2r,L proline reversible transport via proton symport,h_e + pro__L_e  <=> h_c + pro__L_c ,YKR039W or YOR348C,-999999,999999,0,S_Transport__Extracellular
RPI,Ribose-5-phosphate isomerase,r5p_c  <=> ru5p__D_c ,YOR095C,-999999,999999,0,S_Pentose_Phosphate_Pathway
SACCD1,Saccharopine dehydrogenase  NADP  L glutamate forming ,L2aadp6sa_c + glu__L_c + h_c + nadph_c  <=> h2o_c + nadp_c + saccrp__L_c ,YNR050C,-999999,999999,0,S_Threonine_and_Lysine_Metabolism
SUCCt2r,Succinate transport via proton symport,h_e + succ_e  <=> h_c + succ_c ,,-999999,999999,0,S_Transport__Extracellular
SACCD2,Saccharopine dehydrogenase  NAD  L lysine forming ,h2o_c + nad_c + saccrp__L_c  <=> akg_c + h_c + lys__L_c + nadh_c ,YIR034C,-999999,999999,0,S_Threonine_and_Lysine_Metabolism
PROtm,L proline transport  mitochondrial,pro__L_c  <=> pro__L_m ,,-999999,999999,0,S_Transport__Mitochondrial
SADT,Sulfate adenylyltransferase,atp_c + h_c + so4_c  -> aps_c + ppi_c ,YJR010W,0,999999,0,S_Cysteine_Metabolism
SAM24MT,S adenosyl methionine delta 24 sterol c methyltransferase,amet_c + zymst_c  -> ahcys_c + fecost_c + h_c ,YML008C,0,999999,0,S_Sterol_Metabolism
SBPP1er,Sphingoid base phosphate phosphatase  sphinganine 1 phosphatase   endoplasmic reticulum,h2o_r + sph1p_r  -> sphgn_r + pi_r ,YJL134W or YKR053C,0,999999,0,S_Sphingolipid_Metabolism
SBPP2er,Sphingoid base phosphate phosphatase  phytosphingosine 1 phosphate   endoplasmic reticulum,h2o_r + psph1p_r  -> psphings_r + pi_r ,YJL134W or YKR053C,0,999999,0,S_Sphingolipid_Metabolism
SBTD_D2,D sorbitol dehydrogenase  D fructose producing ,nad_c + sbt__D_c  -> fru_c + h_c + nadh_c ,YJR159W,0,999999,0,S_Alternate_Carbon_Metabolism
SBTD_L,L sorbitol dehydrogenase  L sorbose producing ,nad_c + sbt__L_c  -> h_c + nadh_c + srb__L_c ,YJR159W,0,999999,0,S_Alternate_Carbon_Metabolism
SUCCtm,Succinate transport  mitochondrial,succ_c + pi_m  -> succ_m + pi_c ,YLR348C,0,999999,0,S_Transport__Mitochondrial
SUCD1m,Succinate dehydrogenase,fad_m + succ_m  <=> fadh2_m + fum_m ,( YKL141W and YKL148C and YLL041C and YLR164W ) or ( YDR178W and YKL148C and YLL041C and YMR118C ) or ( YDR178W and YJL045W and YKL141W and YLL041C ) or ( YDR178W and YKL141W and YKL148C and YLL041C ),-999999,999999,0,S_Oxidative_Phosphorylation
SUCD2_u6m,Succinate dehydrogenase  ubiquinone 6   mitochondrial,succ_m + q6_m  <=> fum_m + q6h2_m ,( YDR178W and YKL141W and YKL148C and YLL041C ) or ( YKL141W and YKL148C and YLL041C and YLR164W ) or ( YDR178W and YKL148C and YLL041C and YMR118C ) or ( YDR178W and YJL045W and YKL141W and YLL041C ),-999999,999999,0,S_Citric_Acid_Cycle
SUCD3_u6m,Succinate dehydrogenase  ubiquinone 6   mitochondrial,fadh2_m + q6_m  <=> fad_m + q6h2_m ,( YDR178W and YKL141W and YKL148C and YLL041C ) or ( YKL141W and YKL148C and YLL041C and YLR164W ) or ( YDR178W and YKL148C and YLL041C and YMR118C ) or ( YDR178W and YJL045W and YKL141W and YLL041C ),-999999,999999,0,S_Oxidative_Phosphorylation
SUCFUMtm,Succinate fumarate transport  mitochondrial,fum_m + succ_c  -> fum_c + succ_m ,YJR095W or YLR348C,0,999999,0,S_Transport__Mitochondrial
SUCOASm,Succinate  CoA ligase  ADP forming ,atp_m + coa_m + succ_m  <=> adp_m + succoa_m + pi_m ,YGR244C and YOR142W,-999999,999999,0,S_Citric_Acid_Cycle
SUCRe,Sucrose hydrolyzing enxyme  extracellular,h2o_e + sucr_e  -> fru_e + glc__D_e ,YIL162W,0,999999,0,S_Alternate_Carbon_Metabolism
SUCRt2,Sucrose transport in via proton symport,h_e + sucr_e  -> h_c + sucr_c ,,0,999999,0,S_Transport__Extracellular
SBTR,D sorbitol reductase,glc__D_c + h_c + nadph_c  -> nadp_c + sbt__D_c ,YHR104W,0,999999,0,S_Alternate_Carbon_Metabolism
SBT_Dt,D sorbitol transport via passive diffusion,sbt__D_e  <=> sbt__D_c ,,-999999,999999,0,S_Transport__Extracellular
SBT_Lt,L sorbitol transport via passive diffusion,sbt__L_e  <=> sbt__L_c ,,-999999,999999,0,S_Transport__Extracellular
SERAT,Serine O-acetyltransferase,accoa_c + ser__L_c  -> acser_c + coa_c ,,0,999999,0,S_Cysteine_Metabolism
SULR,Sulfite reductase (NADPH2),5 h_c + 3 nadph_c + so3_c  <=> 3 h2o_c + h2s_c + 3 nadp_c ,YFR030W or YJR137C,-999999,999999,0,S_Cysteine_Metabolism
T4HCINNMFM,4 hydroxycinnamate formation,34hpl_m  -> T4hcinnm_m + h2o_m ,,0,999999,0,S_Quinone_Biosynthesis
SERPT,Serine C palmitoyltransferase,h_c + pmtcoa_c + ser__L_c  -> 3dsphgn_c + co2_c + coa_c ,( YDR062W and YMR296C ) and YBR058C_A,0,999999,0,S_Sphingolipid_Metabolism
PRPPS,Phosphoribosylpyrophosphate synthetase,atp_c + r5p_c  <=> amp_c + h_c + prpp_c ,YER099C or YOL061W or YBL068W or YHL011C or YKL181W,-999999,999999,0,S_Histidine_Metabolism
SERTRS,Seryl-tRNA synthetase,atp_c + trnaser_c + ser__L_c  -> amp_c + ppi_c + sertrna_c ,YHR011W or YDR023W,0,999999,0,S_tRNA_charging
SERt2m,Serine mitochondrial transport via proton symport,h_c + ser__L_c  <=> h_m + ser__L_m ,,-999999,999999,0,S_Transport__Mitochondrial
SERt2r,L serine reversible transport via proton symport,h_e + ser__L_e  <=> h_c + ser__L_c ,YFL055W or YCL025C or YDR508C or YKR039W or YPL265W,-999999,999999,0,S_Transport__Extracellular
SFGTHi,S-Formylglutathione hydralase,Sfglutth_c + h2o_c  <=> for_c + gthrd_c + h_c ,YJL068C,-999999,999999,0,S_Methane_Metabolism
